product_name,description1,description2,description3
Vispgrädde 36% 5dl Arla Köket®,,"0.5L(57,00 kr/l), Sverige","28,50 kr"
Fläskytterfilé mörmarinerad ca 1kg ICA,,"Ca1kg(95,00 kr/kg), Sverige","Ca95,00 kr"
"Färsk standardmjölk 3,0% 1l Arla Ko®",,"1L(12,95 kr/l), Sverige","12,95 kr"
Mild yoghurt Naturell 3% 1000g Arla Ko®,,"1kg(16,95 kr/kg), Sverige","16,95 kr"
Toalettpapper 24-p Miljömärkt ICA,,"2.592kg(49,00 kr/kg)","127,00 kr"
Skogaholmslimpa skivad 775g Skogaholms,,"0.775kg(36,06 kr/kg)","27,95 kr"
Mozzarella 125g Galbani,,"0.125kg(148,00 kr/kg u. spad)","18,50 kr"
Fruktdryck Multivitamin 2l Glocken Gold,,"2L(9,48 kr/l)","18,95 kr"
Kokosmjölk 400ml ICA Asia,,"0.4L(32,38 kr/l)","12,95 kr"
Crème fraiche 32% 2dl Arla Köket®,,"0.2L(67,50 kr/l), Sverige","13,50 kr"
Kaffe Mellan 500g Arvid Nordquist,,"0.5kg(119,90 kr/kg)","59,95 kr"
"Standardmjölkdryck 3,0% Laktosfri 1,5l Arla Ko®",,"1.5L(15,00 kr/l), Sverige","22,50 kr"
Godis Original 160g Ahlgrens Bilar,,"0.16kg(105,94 kr/kg)","16,95 kr"
"Vispgrädde 36% Längre hållbarhet 2,5dl ICA",,"0.25L(62,00 kr/l), Sverige","15,50 kr"
Taco sauce Medium 230g Santa Maria,,"0.23kg(67,39 kr/kg)","15,50 kr"
Toalettpapper 18-p Miljömärkt Serla,,"2.988kg(39,83 kr/kg)","119,00 kr"
"Färsk mellanmjölk 1,5% Ekologisk 1l Arla Ko®",,"1L(14,95 kr/l), Sverige","14,95 kr"
Panpizza Original Fryst 170g Billys,,"0.17kg(87,94 kr/kg)","14,95 kr"
Ärtor Fryst 600g ICA,,"0.6kg(33,25 kr/kg)","19,95 kr"
Pommes strips Fryst 1kg ICA,,"1kg(23,95 kr/kg)","23,95 kr"
Hallon 175g RisiFrutti,,"0.175kg(65,71 kr/kg)","11,50 kr"
Spenat i storpack Sköljd 200g ICA,,"0.2kg(99,75 kr/kg), EU","19,95 kr"
Kalkon Rökt tunna skivor 200g Pärsons,,"0.2kg(169,75 kr/kg)","33,95 kr"
Vetemjöl 2kg ICA,,"2kg(8,75 kr/kg), Sverige","17,50 kr"
